season,episode,title,year,votes,rating,us-viewers
1,1,Pilot,2008,23970,9.0,1.41
1,2,Cat's in the Bag...,2008,17267,8.7,1.49
1,3,...And the Bag's in the River,2008,16719,8.8,1.08
1,4,Cancer Man,2008,16211,8.3,1.09
1,5,Gray Matter,2008,15896,8.4,0.97
1,6,Crazy Handful of Nothin',2008,18447,9.3,1.07
1,7,A No-Rough-Stuff-Type Deal,2008,16208,8.9,1.50
2,1,Seven Thirty-Seven,2009,14506,8.7,1.66
2,2,Grilled,2009,16918,9.3,1.60
2,3,Bit by a Dead Bee,2009,14062,8.4,1.13
2,4,Down,2009,14193,8.3,1.29
2,5,Breakage,2009,13761,8.4,1.21
2,6,Peekaboo,2009,15225,8.9,1.41
2,7,Negro Y Azul,2009,13720,8.7,NaN
2,8,Better Call Saul,2009,16213,9.2,1.04
2,9,4 Days Out,2009,15728,9.2,NaN
2,10,Over,2009,13450,8.6,NaN
2,11,Mandala,2009,13903,8.9,NaN
2,12,Phoenix,2009,15647,9.3,NaN
2,13,ABQ,2009,15649,9.3,1.50
3,1,No Más,2010,13324,8.6,1.95
3,2,Caballo sin Nombre,2010,12912,8.7,1.55
3,3,I.F.T.,2010,12948,8.5,1.33
3,4,Green Light,2010,13190,8.3,1.46
3,5,Más,2010,12557,8.7,1.61
3,6,Sunset,2010,15028,9.3,1.64
3,7,One Minute,2010,18580,9.6,1.52
3,8,I See You,2010,13013,8.8,1.78
3,9,Kafkaesque,2010,12901,8.5,1.61
3,10,Fly,2010,22726,7.8,1.20
3,11,Abiquiu,2010,12778,8.5,1.32
3,12,Half Measures,2010,17954,9.5,1.19
3,13,Full Measure,2010,20196,9.7,1.56
4,1,Box Cutter,2011,16165,9.2,2.58
4,2,Thirty-Eight Snub,2011,13396,8.3,1.97
4,3,Open House,2011,13529,8.1,1.71
4,4,Bullet Points,2011,12631,8.7,1.83
4,5,Shotgun,2011,12658,8.7,1.75
4,6,Cornered,2011,12825,8.5,1.67
4,7,Problem Dog,2011,13352,8.9,1.91
4,8,Hermanos,2011,15077,9.3,1.98
4,9,Bug,2011,13476,8.9,1.89
4,10,Salud,2011,19052,9.6,1.80
4,11,Crawl Space,2011,22002,9.7,1.55
4,12,End Times,2011,17070,9.5,1.73
4,13,Face Off,2011,41062,9.9,1.90
5,1,Live Free or Die,2012,19061,9.3,2.93
5,2,Madrigal,2012,16021,8.9,2.29
5,3,Hazard Pay,2012,15551,8.9,2.20
5,4,Fifty-One,2012,15658,8.9,2.29
5,5,Dead Freight,2012,23311,9.7,2.48
5,6,Buyout,2012,16026,9.1,2.81
5,7,Say My Name,2012,20586,9.6,2.98
5,8,Gliding Over All,2012,21263,9.6,2.78
5,9,Blood Money,2013,20694,9.5,5.92
5,10,Buried,2013,17946,9.2,4.77
5,11,Confessions,2013,22112,9.6,4.85
5,12,Rabid Dog,2013,18740,9.2,4.41
5,13,To'hajiilee,2013,31591,9.8,5.11
5,14,Ozymandias,2013,119128,10.0,6.37
5,15,Granite State,2013,31910,9.7,6.58
5,16,Felina,2013,84651,9.9,10.28
